Layer,Name,GEOID,PMH_2023,PMH_2023_moe
Census tract,Tract 7302.02,17031730202,15.50,1.68
Census tract,Tract 7303,17031730300,18.00,1.76
Census tract,Tract 7304,17031730400,15.90,1.68
Census tract,Tract 7305,17031730500,16.30,1.89
Census tract,Tract 7306,17031730600,14.60,1.55
Census tract,Tract 7307,17031730700,17.20,1.89
Census tract,Tract 7401,17031740100,15.20,1.55
Census tract,Tract 7402,17031740200,15.10,1.64
Census tract,Tract 7403,17031740300,14.10,1.68
Census tract,Tract 7404,17031740400,16.10,1.64
Census tract,Tract 7501,17031750100,15.00,1.76
Census tract,Tract 7502,17031750200,14.80,1.34
Census tract,Tract 7503,17031750300,13.60,1.59
Census tract,Tract 7504,17031750400,13.80,1.38
Census tract,Tract 7505,17031750500,14.90,1.47
Census tract,Tract 7506,17031750600,17.20,1.76
Census tract,Tract 7608.01,17031760801,14.60,1.51
Census tract,Tract 7608.02,17031760802,14.00,1.47
Census tract,Tract 7608.03,17031760803,16.10,1.72
Census tract,Tract 7705,17031770500,18.80,1.76
Census tract,Tract 7706.02,17031770602,15.20,1.30
Census tract,Tract 7707,17031770700,15.10,1.38
Census tract,Tract 7708,17031770800,15.70,1.51
Census tract,Tract 7709.01,17031770901,14.20,1.34
Census tract,Tract 7709.02,17031770902,15.40,1.38
Census tract,Tract 8104,17031810400,13.10,1.47
Census tract,Tract 8105.01,17031810501,14.30,1.47
Census tract,Tract 8105.02,17031810502,15.60,1.51
Census tract,Tract 8106,17031810600,14.70,1.47
Census tract,Tract 8233.04,17031823304,16.70,1.38
Census tract,Tract 8305,17031830500,15.90,1.76
Census tract,Tract 8306,17031830600,16.10,1.59
Census tract,Tract 8307,17031830700,16.90,1.55
Census tract,Tract 8308,17031830800,15.20,1.76
Census tract,Tract 8309,17031830900,13.60,1.43
Census tract,Tract 8310,17031831000,13.90,1.51
Census tract,Tract 8311,17031831100,15.40,1.59
Census tract,Tract 8312,17031831200,16.70,1.68
Census tract,Tract 8313,17031831300,20.30,1.72
Census tract,Tract 8314,17031831400,19.00,1.76
Census tract,Tract 8315,17031831500,16.40,1.43
Census tract,Tract 8316,17031831600,15.30,1.43
Census tract,Tract 8317,17031831700,15.30,1.47
Census tract,Tract 8318,17031831800,14.50,1.30
Census tract,Tract 8319,17031831900,15.60,2.01
Census tract,Tract 8320,17031832000,15.20,1.64
Census tract,Tract 8321,17031832100,16.80,2.10
Census tract,Tract 8322,17031832200,14.40,1.80
Census tract,Tract 8323,17031832300,14.60,1.55
Census tract,Tract 8324,17031832400,14.70,1.89
Census tract,Tract 8325,17031832500,14.40,1.64
Census tract,Tract 8326,17031832600,14.50,1.72
Census tract,Tract 8329,17031832900,15.80,1.76
Census tract,Tract 8330,17031833000,14.40,1.64
Census tract,Tract 8331,17031833100,13.20,1.43
Census tract,Tract 8333,17031833300,14.60,1.55
Census tract,Tract 8339,17031833900,21.90,1.85
Census tract,Tract 8340,17031834000,21.00,2.10
Census tract,Tract 8342,17031834200,16.80,1.64
Census tract,Tract 8343,17031834300,15.50,1.72
Census tract,Tract 8344,17031834400,17.10,1.80
Census tract,Tract 8345,17031834500,23.40,2.06
Census tract,Tract 8346,17031834600,21.50,1.89
Census tract,Tract 8347,17031834700,20.40,2.01
Census tract,Tract 8348,17031834800,19.90,1.85
Census tract,Tract 8349,17031834900,21.30,1.76
Census tract,Tract 8350,17031835000,19.30,1.64
Census tract,Tract 8351,17031835100,16.80,1.51
Census tract,Tract 8352,17031835200,14.80,1.38
Census tract,Tract 8355,17031835500,19.70,1.89
Census tract,Tract 8356,17031835600,22.60,2.10
Census tract,Tract 8358,17031835800,17.90,2.14
Census tract,Tract 8360,17031836000,17.50,1.89
Census tract,Tract 8361,17031836100,20.90,2.35
Census tract,Tract 8362,17031836200,20.50,2.22
Census tract,Tract 8363,17031836300,16.90,1.80
Census tract,Tract 8364,17031836400,17.60,1.97
Census tract,Tract 8365,17031836500,20.80,2.43
Census tract,Tract 8366,17031836600,15.50,1.43
Census tract,Tract 8367,17031836700,20.80,1.76
Census tract,Tract 8368,17031836800,24.10,2.14
Census tract,Tract 8369,17031836900,23.30,2.14
Census tract,Tract 8370,17031837000,18.50,2.06
Census tract,Tract 8371,17031837100,16.60,1.68
Census tract,Tract 8373,17031837300,22.30,1.76
Census tract,Tract 8374,17031837400,19.10,1.93
Census tract,Tract 8378,17031837800,17.90,1.93
Census tract,Tract 8380,17031838000,18.20,1.76
Census tract,Tract 8381,17031838100,15.80,1.76
Census tract,Tract 8382,17031838200,14.60,1.72
Census tract,Tract 8383,17031838300,15.60,1.89
Census tract,Tract 8386,17031838600,21.90,1.89
Census tract,Tract 8387,17031838700,25.00,2.35
Census tract,Tract 8388,17031838800,20.10,1.80
Census tract,Tract 8390,17031839000,14.80,1.51
Census tract,Tract 8391,17031839100,14.00,1.26
Census tract,Tract 8392,17031839200,14.90,1.47
Census tract,Tract 8395,17031839500,14.30,1.51
Census tract,Tract 8396,17031839600,16.20,1.80
Census tract,Tract 8397,17031839700,13.60,1.34
Census tract,Tract 8398,17031839800,14.20,1.55
Census tract,Tract 8399,17031839900,14.50,1.30
Census tract,Tract 8400,17031840000,13.80,1.30
Census tract,Tract 8401,17031840100,14.30,1.47
Census tract,Tract 8402,17031840200,15.40,1.38
Census tract,Tract 8403,17031840300,14.80,1.43
Census tract,Tract 8404,17031840400,13.70,1.30
Census tract,Tract 8407,17031840700,14.20,1.55
Census tract,Tract 8408,17031840800,17.90,1.97
Census tract,Tract 8410,17031841000,13.70,1.30
Census tract,Tract 8411,17031841100,13.20,1.47
Census tract,Tract 8412,17031841200,17.30,1.76
Census tract,Tract 8413,17031841300,14.70,1.72
Census tract,Tract 8415,17031841500,23.50,2.27
Census tract,Tract 8417,17031841700,16.40,1.47
Census tract,Tract 8418,17031841800,19.60,1.89
Census tract,Tract 8419,17031841900,17.70,1.89
Census tract,Tract 8420,17031842000,16.90,1.64
Census tract,Tract 8421,17031842100,18.20,1.72
Census tract,Tract 8422,17031842200,13.90,1.30
Census tract,Tract 8423,17031842300,13.70,1.34
Census tract,Tract 8424,17031842400,14.00,1.47
Census tract,Tract 8425,17031842500,24.60,2.73
Census tract,Tract 8426,17031842600,15.70,1.47
Census tract,Tract 8428,17031842800,16.90,1.93
Census tract,Tract 8429,17031842900,19.80,1.85
Census tract,Tract 8430,17031843000,22.20,2.18
Census tract,Tract 8431,17031843100,19.30,1.89
Census tract,Tract 8432,17031843200,15.20,1.68
Census tract,Tract 8433,17031843300,19.20,1.89
Census tract,Tract 8434,17031843400,17.70,1.59
Census tract,Tract 8435,17031843500,19.60,1.97
Census tract,Tract 8436,17031843600,16.90,1.76
Census tract,Tract 8437,17031843700,13.00,1.43
Census tract,Tract 8438,17031843800,18.00,1.55
Census tract,Tract 8439,17031843900,17.60,1.76
Census tract,Tract 8446,17031844600,17.70,1.80
Census tract,Tract 8447,17031844700,19.20,1.93
Census tract,Tract 8400,17043840000,15.80,1.80
Census tract,Tract 8408.01,17043840801,13.40,1.43
