Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 2206.01,17031220601,22.00,2.43
Census tract,Tract 2206.02,17031220602,23.20,2.73
Census tract,Tract 2207.01,17031220701,26.30,2.81
Census tract,Tract 2207.02,17031220702,26.60,2.94
Census tract,Tract 2209.01,17031220901,27.40,2.85
Census tract,Tract 2209.02,17031220902,27.10,3.02
Census tract,Tract 2210,17031221000,27.00,3.06
Census tract,Tract 2211,17031221100,24.60,2.85
Census tract,Tract 2212,17031221200,22.80,2.73
Census tract,Tract 2213,17031221300,24.20,3.06
Census tract,Tract 2214,17031221400,23.20,2.85
Census tract,Tract 2215,17031221500,24.80,2.81
Census tract,Tract 2216,17031221600,21.30,2.64
Census tract,Tract 2222,17031222200,20.10,2.43
Census tract,Tract 2225,17031222500,22.10,2.60
Census tract,Tract 2226,17031222600,23.80,2.90
Census tract,Tract 2227,17031222700,26.20,2.85
Census tract,Tract 2228,17031222800,28.90,2.90
Census tract,Tract 2229,17031222900,27.10,2.85
Census tract,Tract 2301,17031230100,24.60,2.85
Census tract,Tract 2302,17031230200,27.60,2.85
Census tract,Tract 2303,17031230300,31.00,3.32
Census tract,Tract 2304,17031230400,26.80,3.15
Census tract,Tract 2305,17031230500,30.80,3.27
Census tract,Tract 2306,17031230600,33.60,3.36
Census tract,Tract 2307,17031230700,30.90,3.02
Census tract,Tract 2308,17031230800,28.10,3.19
Census tract,Tract 2309,17031230900,27.50,2.90
Census tract,Tract 2311,17031231100,33.90,2.85
Census tract,Tract 2312,17031231200,34.80,2.85
Census tract,Tract 2315,17031231500,36.30,3.27
Census tract,Tract 2402,17031240200,22.50,2.77
Census tract,Tract 2403,17031240300,20.30,2.43
Census tract,Tract 2405,17031240500,20.40,2.52
Census tract,Tract 2406,17031240600,22.20,2.60
Census tract,Tract 2407,17031240700,24.30,2.64
Census tract,Tract 2408,17031240800,23.00,2.43
Census tract,Tract 2409,17031240900,23.80,2.73
Census tract,Tract 2410,17031241000,24.90,2.73
Census tract,Tract 2411,17031241100,25.00,2.94
Census tract,Tract 2412,17031241200,21.40,2.56
Census tract,Tract 2413,17031241300,21.30,2.43
Census tract,Tract 2414,17031241400,20.90,2.39
Census tract,Tract 2415,17031241500,20.70,2.48
Census tract,Tract 2416,17031241600,22.50,2.77
Census tract,Tract 2420,17031242000,23.00,2.48
Census tract,Tract 2421,17031242100,20.90,2.56
Census tract,Tract 2422,17031242200,21.20,2.73
Census tract,Tract 2423,17031242300,21.60,2.69
Census tract,Tract 2424,17031242400,20.00,2.39
Census tract,Tract 2425,17031242500,23.30,2.69
Census tract,Tract 2426,17031242600,25.00,2.77
Census tract,Tract 2427,17031242700,25.50,2.77
Census tract,Tract 2428,17031242800,21.80,2.56
Census tract,Tract 2429,17031242900,22.10,2.64
Census tract,Tract 2430,17031243000,22.10,2.52
Census tract,Tract 2431,17031243100,23.00,2.64
Census tract,Tract 2432,17031243200,21.40,2.60
Census tract,Tract 2433,17031243300,22.40,3.02
Census tract,Tract 2434,17031243400,22.20,2.73
Census tract,Tract 2435,17031243500,21.30,2.35
Census tract,Tract 2502,17031250200,33.20,2.85
Census tract,Tract 2503,17031250300,35.40,3.27
Census tract,Tract 2504,17031250400,35.10,3.02
Census tract,Tract 2505,17031250500,25.50,2.22
Census tract,Tract 2506,17031250600,34.30,3.23
Census tract,Tract 2507,17031250700,37.60,3.19
Census tract,Tract 2508,17031250800,35.30,3.02
Census tract,Tract 2510,17031251000,38.20,3.27
Census tract,Tract 2511,17031251100,36.20,3.19
Census tract,Tract 2512,17031251200,37.50,3.36
Census tract,Tract 2513,17031251300,36.10,3.27
Census tract,Tract 2514,17031251400,36.80,3.15
Census tract,Tract 2515,17031251500,37.10,3.19
Census tract,Tract 2516,17031251600,37.10,3.36
Census tract,Tract 2517,17031251700,35.80,3.02
Census tract,Tract 2518,17031251800,38.90,3.40
Census tract,Tract 2519,17031251900,38.20,3.23
Census tract,Tract 2520,17031252000,38.10,3.40
Census tract,Tract 2521.01,17031252101,36.10,3.48
Census tract,Tract 2521.02,17031252102,37.40,3.27
Census tract,Tract 2522.01,17031252201,35.70,3.36
Census tract,Tract 2522.02,17031252202,37.30,3.48
Census tract,Tract 2601,17031260100,37.40,3.61
Census tract,Tract 2602,17031260200,40.10,3.61
Census tract,Tract 2603,17031260300,39.60,3.19
Census tract,Tract 2604,17031260400,40.40,3.15
Census tract,Tract 2605,17031260500,36.60,3.15
Census tract,Tract 2606,17031260600,39.10,3.69
Census tract,Tract 2607,17031260700,38.70,3.61
Census tract,Tract 2608,17031260800,38.10,2.94
Census tract,Tract 2609,17031260900,36.90,3.36
Census tract,Tract 2610,17031261000,37.70,3.23
Census tract,Tract 2705,17031270500,38.90,3.90
Census tract,Tract 2712,17031271200,35.40,3.65
Census tract,Tract 2713,17031271300,36.40,3.65
Census tract,Tract 2714,17031271400,34.90,3.57
Census tract,Tract 2715,17031271500,36.10,3.65
Census tract,Tract 2718,17031271800,37.50,3.48
Census tract,Tract 2801,17031280100,20.70,2.06
Census tract,Tract 2804,17031280400,35.50,3.44
Census tract,Tract 2808,17031280800,34.80,3.65
Census tract,Tract 2809,17031280900,30.50,3.36
Census tract,Tract 2819,17031281900,24.10,2.48
Census tract,Tract 2827,17031282700,28.20,2.81
Census tract,Tract 2828,17031282800,27.50,2.77
Census tract,Tract 2831,17031283100,28.70,3.23
Census tract,Tract 2832,17031283200,27.20,2.48
Census tract,Tract 2838,17031283800,28.10,2.64
Census tract,Tract 2909,17031290900,38.30,3.19
Census tract,Tract 2912,17031291200,37.50,3.69
Census tract,Tract 2916,17031291600,31.40,3.02
Census tract,Tract 2922,17031292200,37.20,3.48
Census tract,Tract 2924,17031292400,36.70,3.36
Census tract,Tract 2925,17031292500,35.80,3.48
Census tract,Tract 3005,17031300500,32.00,3.36
Census tract,Tract 3006,17031300600,34.30,3.19
Census tract,Tract 3007,17031300700,31.80,3.44
Census tract,Tract 3008,17031300800,32.70,3.32
Census tract,Tract 3009,17031300900,32.20,3.15
Census tract,Tract 3011,17031301100,33.20,3.19
Census tract,Tract 3012,17031301200,31.10,3.11
Census tract,Tract 3016,17031301600,32.70,3.32
Census tract,Tract 3017.01,17031301701,32.30,3.19
Census tract,Tract 3017.02,17031301702,32.90,3.15
Census tract,Tract 3018.01,17031301801,30.40,3.23
Census tract,Tract 3018.02,17031301802,30.80,3.44
Census tract,Tract 3018.03,17031301803,31.80,3.44
Census tract,Tract 3102,17031310200,24.00,2.39
Census tract,Tract 3103,17031310300,27.40,3.02
Census tract,Tract 3104,17031310400,26.40,2.85
Census tract,Tract 3105,17031310500,30.20,3.32
Census tract,Tract 3106,17031310600,27.20,2.94
Census tract,Tract 3107,17031310700,27.10,3.23
Census tract,Tract 3108,17031310800,27.80,3.27
Census tract,Tract 3109,17031310900,28.10,3.32
Census tract,Tract 3201.01,17031320101,21.60,2.39
Census tract,Tract 3201.02,17031320102,23.40,2.35
Census tract,Tract 3204,17031320400,25.20,2.69
Census tract,Tract 3206,17031320600,22.70,2.22
Census tract,Tract 3301.01,17031330101,22.10,2.14
Census tract,Tract 3301.02,17031330102,23.10,2.48
Census tract,Tract 3301.03,17031330103,23.40,2.18
Census tract,Tract 3302,17031330200,24.50,2.31
Census tract,Tract 3403,17031340300,32.60,3.53
Census tract,Tract 3404,17031340400,33.70,3.53
Census tract,Tract 3405,17031340500,28.10,3.11
Census tract,Tract 3406,17031340600,37.20,3.36
Census tract,Tract 3501,17031350100,28.40,2.94
Census tract,Tract 3504,17031350400,38.30,3.78
Census tract,Tract 3510,17031351000,30.40,3.06
Census tract,Tract 3511,17031351100,36.20,3.27
Census tract,Tract 3514,17031351400,34.30,3.19
Census tract,Tract 3515,17031351500,33.90,3.19
Census tract,Tract 3602,17031360200,34.80,3.36
Census tract,Tract 3801,17031380100,31.60,3.57
Census tract,Tract 3802,17031380200,33.60,3.73
Census tract,Tract 3806,17031380600,35.50,3.36
Census tract,Tract 3812,17031381200,32.90,3.06
Census tract,Tract 3814,17031381400,37.80,3.48
Census tract,Tract 3815,17031381500,34.90,3.36
Census tract,Tract 3818,17031381800,32.60,3.57
