Layer,Name,GEOID,Population,POP_2020-2024_moe
Census tract,Tract 3403,17031340300,"1,720",346
Census tract,Tract 3404,17031340400,"1,702",312
Census tract,Tract 3405,17031340500,"1,672",204
Census tract,Tract 3406,17031340600,"1,430",472
Census tract,Tract 3501,17031350100,"2,435",541
Census tract,Tract 3504,17031350400,"1,457",379
Census tract,Tract 3510,17031351000,"4,259",529
Census tract,Tract 3511,17031351100,"2,000",537
Census tract,Tract 3514,17031351400,"1,387",401
Census tract,Tract 3515,17031351500,973,133
Census tract,Tract 3602,17031360200,"1,900",652
Census tract,Tract 3801,17031380100,"1,787",386
Census tract,Tract 3802,17031380200,"1,689",373
Census tract,Tract 3806,17031380600,"4,952",881
Census tract,Tract 3812,17031381200,"1,952",433
Census tract,Tract 3814,17031381400,"1,579",351
Census tract,Tract 3815,17031381500,669,163
Census tract,Tract 3817,17031381700,0,13
Census tract,Tract 3818,17031381800,"1,448",351
Census tract,Tract 3819,17031381900,"1,324",296
Census tract,Tract 3901,17031390100,"1,887",402
Census tract,Tract 3902,17031390200,"2,012",300
Census tract,Tract 3903,17031390300,"2,531",467
Census tract,Tract 3904,17031390400,"2,499",445
Census tract,Tract 3905,17031390500,"1,753",217
Census tract,Tract 3906,17031390600,"1,898",333
Census tract,Tract 3907,17031390700,"5,837",869
Census tract,Tract 4003,17031400300,"1,311",308
Census tract,Tract 4004,17031400400,"2,059",444
Census tract,Tract 4005,17031400500,"2,308",474
Census tract,Tract 4008,17031400800,"2,909",637
Census tract,Tract 4101,17031410100,"2,287",369
Census tract,Tract 4102,17031410200,"1,133",199
Census tract,Tract 4105,17031410500,"2,887",439
Census tract,Tract 4106,17031410600,"2,600",357
Census tract,Tract 4107,17031410700,"2,494",451
Census tract,Tract 4108,17031410800,"2,770",482
Census tract,Tract 4109,17031410900,"3,693",528
Census tract,Tract 4110,17031411000,"4,548",977
Census tract,Tract 4111,17031411100,"2,359",291
Census tract,Tract 4112,17031411200,"1,698",187
Census tract,Tract 4201,17031420100,"1,431",283
Census tract,Tract 4202,17031420200,"2,011",368
Census tract,Tract 4203,17031420300,"2,511",331
Census tract,Tract 4204,17031420400,"1,463",229
Census tract,Tract 4205,17031420500,"1,751",531
Census tract,Tract 4206,17031420600,"2,980",646
Census tract,Tract 4207,17031420700,"2,424",515
Census tract,Tract 4208,17031420800,"2,146",565
Census tract,Tract 4212,17031421200,"2,049","1,348"
Census tract,Tract 4301.01,17031430101,"3,776",772
Census tract,Tract 4301.02,17031430102,"3,582",806
Census tract,Tract 4302,17031430200,"5,792","1,102"
Census tract,Tract 4303,17031430300,"2,708",550
Census tract,Tract 4304,17031430400,"3,014",507
Census tract,Tract 4305,17031430500,"3,531",724
Census tract,Tract 4306,17031430600,"1,722",489
Census tract,Tract 4307,17031430700,"1,983",333
Census tract,Tract 4308,17031430800,"1,935",326
Census tract,Tract 4309,17031430900,"1,541",320
Census tract,Tract 4312,17031431200,"2,892",491
Census tract,Tract 4313.01,17031431301,"3,702",778
Census tract,Tract 4313.02,17031431302,"3,463","1,155"
Census tract,Tract 4314,17031431400,"6,850",889
Census tract,Tract 4401.01,17031440101,"3,582",595
Census tract,Tract 4401.02,17031440102,"3,185",469
Census tract,Tract 4402.01,17031440201,"5,310","1,429"
Census tract,Tract 4402.02,17031440202,"2,608",310
Census tract,Tract 4403,17031440300,"4,400",973
Census tract,Tract 4406,17031440600,"1,957",453
Census tract,Tract 4407,17031440700,"1,428",529
Census tract,Tract 4408,17031440800,"1,977",537
Census tract,Tract 4409,17031440900,"2,593",453
Census tract,Tract 4503,17031450300,"2,968",521
Census tract,Tract 4601,17031460100,"2,351",405
Census tract,Tract 4602,17031460200,"2,196",532
Census tract,Tract 4603.01,17031460301,"2,721",705
Census tract,Tract 4603.02,17031460302,"3,309",874
Census tract,Tract 4604,17031460400,"3,817",744
Census tract,Tract 4605,17031460500,"4,954",970
Census tract,Tract 4608,17031460800,"4,257",838
Census tract,Tract 4610,17031461000,"1,230",297
Census tract,Tract 4701,17031470100,"2,304",520
Census tract,Tract 4801,17031480100,"1,989",295
Census tract,Tract 4802,17031480200,"1,029",228
Census tract,Tract 4803,17031480300,"1,296",287
Census tract,Tract 4804,17031480400,"4,084",907
Census tract,Tract 4805,17031480500,"2,831",589
Census tract,Tract 4902,17031490200,"2,879",535
Census tract,Tract 4905,17031490500,"1,971",396
Census tract,Tract 4906,17031490600,"1,344",217
Census tract,Tract 4907,17031490700,"2,494",577
Census tract,Tract 4908,17031490800,"3,573",803
Census tract,Tract 4909.01,17031490901,"2,758",570
Census tract,Tract 4909.02,17031490902,"4,725",963
Census tract,Tract 4910,17031491000,"3,412",809
Census tract,Tract 4911,17031491100,"4,062",560
Census tract,Tract 4912,17031491200,"1,848",406
Census tract,Tract 4913,17031491300,"2,025",466
Census tract,Tract 4914,17031491400,"2,515",731
Census tract,Tract 5001,17031500100,"3,283",588
Census tract,Tract 5002,17031500200,"1,769",467
Census tract,Tract 5003,17031500300,"1,692",236
Census tract,Tract 5101,17031510100,"3,129",698
Census tract,Tract 5102,17031510200,"2,985",606
Census tract,Tract 5103,17031510300,"4,344","1,225"
Census tract,Tract 5201,17031520100,"1,816",546
Census tract,Tract 5202,17031520200,"3,485",675
Census tract,Tract 5203,17031520300,"6,186",799
Census tract,Tract 5204,17031520400,"3,589",931
Census tract,Tract 5205,17031520500,"4,908",954
Census tract,Tract 5206,17031520600,"2,703",509
Census tract,Tract 5301,17031530100,"1,678",506
Census tract,Tract 5302,17031530200,"3,779",727
Census tract,Tract 5303,17031530300,"3,482",808
Census tract,Tract 5304,17031530400,"2,102",505
Census tract,Tract 5305.01,17031530501,"5,885","1,764"
Census tract,Tract 5305.02,17031530502,"1,335",323
Census tract,Tract 5305.03,17031530503,"3,668",808
Census tract,Tract 5306,17031530600,"2,620",426
Census tract,Tract 5401.01,17031540101,"4,115",745
Census tract,Tract 5401.02,17031540102,"3,403",525
Census tract,Tract 5501,17031550100,"6,161","1,098"
Census tract,Tract 5502,17031550200,"2,692",682
Census tract,Tract 5601,17031560100,"1,197",291
Census tract,Tract 5602,17031560200,"1,716",278
Census tract,Tract 5603,17031560300,"3,343",512
Census tract,Tract 5604,17031560400,"1,438",220
Census tract,Tract 5607,17031560700,"3,923",621
Census tract,Tract 5608,17031560800,"6,415","1,377"
Census tract,Tract 5609,17031560900,"5,175",547
Census tract,Tract 5610,17031561000,"5,904",854
Census tract,Tract 5611,17031561100,"5,564",574
Census tract,Tract 5701,17031570100,"1,299",248
Census tract,Tract 5702,17031570200,"2,111",355
Census tract,Tract 5703,17031570300,"5,801","1,378"
Census tract,Tract 5704,17031570400,"1,668",374
Census tract,Tract 5705,17031570500,"2,535",340
Census tract,Tract 5801,17031580100,"2,167",323
Census tract,Tract 5802,17031580200,"3,049",985
Census tract,Tract 5803,17031580300,"2,311",639
Census tract,Tract 5804,17031580400,"4,236",761
Census tract,Tract 5805.01,17031580501,"4,728",828
Census tract,Tract 5805.02,17031580502,"5,304",599
Census tract,Tract 5806,17031580600,"5,948","1,010"
Census tract,Tract 5807,17031580700,"5,822","1,361"
Census tract,Tract 5808,17031580800,"2,018",592
Census tract,Tract 5905,17031590500,"1,630",241
Census tract,Tract 5906,17031590600,"3,706",543
Census tract,Tract 5907,17031590700,"2,544",683
Census tract,Tract 6004,17031600400,"4,135",525
Census tract,Tract 6006,17031600600,"2,668",555
Census tract,Tract 6007,17031600700,"3,171",640
Census tract,Tract 6009,17031600900,"3,742",730
Census tract,Tract 6103,17031610300,"5,067","1,432"
Census tract,Tract 6104,17031610400,"2,063",639
Census tract,Tract 6108,17031610800,"1,584",279
Census tract,Tract 6112,17031611200,"2,586",509
Census tract,Tract 6113,17031611300,"3,365",796
Census tract,Tract 6114,17031611400,"3,536","1,014"
Census tract,Tract 6115,17031611500,"3,226",747
Census tract,Tract 6116,17031611600,"1,464",405
Census tract,Tract 6117,17031611700,"1,703",522
Census tract,Tract 6118,17031611800,"1,353",248
Census tract,Tract 6119,17031611900,"1,797",563
Census tract,Tract 6120,17031612000,"1,214",310
Census tract,Tract 6121,17031612100,961,208
Census tract,Tract 6122,17031612200,"4,038",689
Census tract,Tract 6201,17031620100,"4,814","1,060"
Census tract,Tract 6202,17031620200,"1,947",384
